id,zone,task,obligation,movements,movement_types,reasons_count,reasons,code_ref,note
P-01,EXTERNAL,TRAVERSAL,TEMP,OF|PURE_TRAVERSAL,of|pureTraversal,8,PATH_ACCESS|DESCEND_FOOT|STEP_PLACEMENT|SUPPORT_PLACEMENT|SCAFFOLD_RESTORE|EXPECTED_TARGET|STANDING_SPACE|LINE_OF_SIGHT,"action/PathRequest.java:35,119",纯通行任务（walk-to/follow/place）：**刻意显式 TEMP** —— 走到某处不该留下永久痕迹；
P-02,EXTERNAL,MINING,REASON_DEFAULT,OF|PURE_TRAVERSAL|MINING_APPROACH|CLIMB_APPROACH,of|pureTraversal|miningApproach|climbApproach,6,EXPECTED_TARGET|STANDING_SPACE|PATH_ACCESS|SUPPORT_PLACEMENT|STEP_PLACEMENT|SCAFFOLD_RESTORE,"task/mining/MiningPlanner.java:182,241、action/MineBlockRunner.java:158",挖掘站位用 miningApproach（D-067 ㉘ 禁用 PILLAR/FALL/DOWNWARD）；支撑块用完即拆
P-03,EXTERNAL,GATHERING,REASON_DEFAULT,OF|PURE_TRAVERSAL|WITH_WORLD_MODIFICATION|CLIMB_APPROACH,of|pureTraversal|withWorldModification|climbApproach,1,LINE_OF_SIGHT,"task/CollectDropsTask.java:254,360",掉落物收集需调用方**显式** allowWorldModification（D-076）
P-04,EXTERNAL,LUMBER,REASON_DEFAULT,OF|PURE_TRAVERSAL|MINING_APPROACH|CLIMB_APPROACH,of|pureTraversal|miningApproach|climbApproach,6,LINE_OF_SIGHT|EXPECTED_TARGET|REGION_REPLANT|STEP_PLACEMENT|SUPPORT_PLACEMENT|STANDING_SPACE,job/lumber/RegionLumberJob.java:467、job/lumber/LumberJob.java:348,补种 = 计划内永久（KEEP 来自理由自身）；脚手架仍 TEMP
P-05,EXTERNAL,CRAFT,REASON_DEFAULT,OF|PURE_TRAVERSAL|WITH_WORLD_MODIFICATION,of|pureTraversal|withWorldModification,2,CRAFT_STATION_PLACE|CONTAINER_TRANSFER,task/craft/StationPlacement.java:116、job/craft/CraftJob.java:310,合成工作站用完即拆（TEMP，建拆同权）；**熔炼路线要写容器**（放料/取产物）
P-06,EXTERNAL,CONTAINER,REASON_DEFAULT,OF|PURE_TRAVERSAL|WITH_WORLD_MODIFICATION,of|pureTraversal|withWorldModification,2,CONTAINER_TRANSFER|STATION_PROVISION,task/TransferTask.java:197、task/craft/StationProvision.java:242,容器写入走 WriteBudget 的容器维度（不产生放置账本条目）
P-07,EXTERNAL,BUILD,KEEP,OF|PURE_TRAVERSAL,of|pureTraversal,2,BULK_EDIT|EXPECTED_TARGET,task/RoadBuildTask.java:33、road/RoadBuilder.java:27,**显式 KEEP**：批量地形编辑是上层显式授权（D-095 §12.1），不被默认区降级为 TEMP
P-08,EXTERNAL,RESTORE,REASON_DEFAULT,SCAFFOLD_REMOVAL|OF|PURE_TRAVERSAL,scaffoldRemoval|of|pureTraversal,3,SCAFFOLD_RESTORE|DESCEND_FOOT|EXPECTED_TARGET,"task/RestoreScopeTask.java:303,367",只拆不建（scaffoldRemoval 不含 PILLAR/PLACE_STEP/BREAK_*）；回收豁免破坏上限
P-09,EXTERNAL,MANUAL,REASON_DEFAULT,OF|PURE_TRAVERSAL|WITH_WORLD_MODIFICATION|CLIMB_APPROACH,of|pureTraversal|withWorldModification|climbApproach,2,MANUAL|LINE_OF_SIGHT,bot/BotManager.java:1706、command/BotCommand.java:1058,**不显式 KEEP**（虽然 MANUAL 理由本身是永久类）：命令挖矿会顺带垫脚/搭柱，
P-10,EXTERNAL,DIAGNOSTIC,REASON_DEFAULT,OF|PURE_TRAVERSAL|WITH_WORLD_MODIFICATION|MINING_APPROACH|SCAFFOLD_REMOVAL|CLIMB_APPROACH,of|pureTraversal|withWorldModification|miningApproach|scaffoldRemoval|climbApproach,全部,全部,task/…CheckTask.java、item/Pathing…Item.java,自检/夹具：为了能**构造**各类场景而持有全集；
